Datetime,YEAR,MO,DY,HR,Temperature,Wind_Speed,Solar_Radiation,Wind_Direction,Humidity,Rainfall,Month,DayOfYear,Hour
2025-01-01 00:00:00,2025,1,1,0,15.36,2.79,0.0,357.7,95.21,0.0,1,1,0
2025-01-01 01:00:00,2025,1,1,1,16.56,2.7,36.35,2.8,89.72,0.0,1,1,1
2025-01-01 02:00:00,2025,1,1,2,19.66,3.6,155.52,9.4,76.07,0.0,1,1,2
2025-01-01 03:00:00,2025,1,1,3,22.12,3.83,301.42,27.4,66.18,0.0,1,1,3
2025-01-01 04:00:00,2025,1,1,4,23.7,3.78,464.55,35.2,58.87,0.0,1,1,4
2025-01-01 05:00:00,2025,1,1,5,24.83,3.41,587.42,41.4,54.09,0.0,1,1,5
2025-01-01 06:00:00,2025,1,1,6,25.63,2.94,678.83,48.7,50.91,0.0,1,1,6
2025-01-01 07:00:00,2025,1,1,7,26.04,2.54,667.58,56.1,48.98,0.0,1,1,7
2025-01-01 08:00:00,2025,1,1,8,26.24,2.52,536.12,61.8,48.08,0.0,1,1,8
2025-01-01 09:00:00,2025,1,1,9,26.01,2.58,405.12,66.7,48.94,0.0,1,1,9
2025-01-01 10:00:00,2025,1,1,10,25.26,2.49,211.7,74.2,52.33,0.0,1,1,10
2025-01-01 11:00:00,2025,1,1,11,22.87,2.32,34.72,84.6,66.5,0.0,1,1,11
2025-01-01 12:00:00,2025,1,1,12,20.71,2.51,0.0,91.6,70.73,0.0,1,1,12
2025-01-01 13:00:00,2025,1,1,13,20.09,2.29,0.0,88.5,73.03,0.0,1,1,13
2025-01-01 14:00:00,2025,1,1,14,19.54,1.92,0.0,74.9,75.21,0.0,1,1,14
2025-01-01 15:00:00,2025,1,1,15,18.83,1.74,0.0,49.9,77.85,0.0,1,1,15
2025-01-01 16:00:00,2025,1,1,16,17.9,1.95,0.0,25.9,81.3,0.0,1,1,16
2025-01-01 17:00:00,2025,1,1,17,16.92,2.3,0.0,12.6,84.42,0.0,1,1,17
2025-01-01 18:00:00,2025,1,1,18,16.12,2.56,0.0,5.8,86.05,0.0,1,1,18
2025-01-01 19:00:00,2025,1,1,19,15.51,2.73,0.0,0.8,86.33,0.0,1,1,19
2025-01-01 20:00:00,2025,1,1,20,15.07,2.84,0.0,357.8,85.78,0.0,1,1,20
2025-01-01 21:00:00,2025,1,1,21,14.84,2.91,0.0,357.0,84.46,0.0,1,1,21
2025-01-01 22:00:00,2025,1,1,22,14.59,3.02,0.0,359.6,83.12,0.0,1,1,22
2025-01-01 23:00:00,2025,1,1,23,14.1,3.18,0.0,2.0,82.53,0.0,1,1,23
2025-01-02 00:00:00,2025,1,2,0,13.72,3.33,0.0,3.4,82.08,0.0,1,2,0
2025-01-02 01:00:00,2025,1,2,1,14.95,3.24,36.5,4.8,78.07,0.0,1,2,1
2025-01-02 02:00:00,2025,1,2,2,18.12,3.98,153.0,5.3,64.62,0.0,1,2,2
2025-01-02 03:00:00,2025,1,2,3,20.66,3.88,307.85,25.2,54.05,0.0,1,2,3
2025-01-02 04:00:00,2025,1,2,4,22.38,3.88,471.4,39.1,48.88,0.0,1,2,4
2025-01-02 05:00:00,2025,1,2,5,23.49,3.66,584.75,45.3,46.59,0.0,1,2,5
2025-01-02 06:00:00,2025,1,2,6,24.38,3.63,714.92,50.7,44.64,0.0,1,2,6
2025-01-02 07:00:00,2025,1,2,7,24.95,3.63,654.72,54.6,43.19,0.0,1,2,7
2025-01-02 08:00:00,2025,1,2,8,25.1,3.53,564.7,58.6,43.01,0.0,1,2,8
2025-01-02 09:00:00,2025,1,2,9,24.92,3.33,400.23,63.2,42.62,0.0,1,2,9
2025-01-02 10:00:00,2025,1,2,10,23.96,2.93,209.73,68.2,46.67,0.0,1,2,10
2025-01-02 11:00:00,2025,1,2,11,21.31,2.53,45.4,75.1,61.46,0.0,1,2,11
2025-01-02 12:00:00,2025,1,2,12,19.18,2.67,0.0,76.8,65.11,0.0,1,2,12
2025-01-02 13:00:00,2025,1,2,13,18.54,2.53,0.0,67.7,67.02,0.0,1,2,13
2025-01-02 14:00:00,2025,1,2,14,17.89,2.36,0.0,53.6,69.09,0.0,1,2,14
2025-01-02 15:00:00,2025,1,2,15,17.17,2.26,0.0,38.7,71.62,0.0,1,2,15
2025-01-02 16:00:00,2025,1,2,16,16.44,2.26,0.0,24.6,74.02,0.0,1,2,16
2025-01-02 17:00:00,2025,1,2,17,15.77,2.33,0.0,14.2,76.28,0.0,1,2,17
2025-01-02 18:00:00,2025,1,2,18,15.28,2.38,0.0,8.0,77.6,0.0,1,2,18
2025-01-02 19:00:00,2025,1,2,19,14.83,2.41,0.0,4.1,77.81,0.0,1,2,19
2025-01-02 20:00:00,2025,1,2,20,14.5,2.4,0.0,2.1,76.7,0.0,1,2,20
2025-01-02 21:00:00,2025,1,2,21,14.14,2.49,0.0,1.2,75.88,0.0,1,2,21
2025-01-02 22:00:00,2025,1,2,22,13.74,2.68,0.0,1.1,75.21,0.0,1,2,22
2025-01-02 23:00:00,2025,1,2,23,13.41,2.87,0.0,2.4,74.34,0.0,1,2,23
2025-01-03 00:00:00,2025,1,3,0,13.14,3.04,0.0,4.0,73.13,0.0,1,3,0
2025-01-03 01:00:00,2025,1,3,1,14.21,2.93,40.8,5.1,71.85,0.0,1,3,1
2025-01-03 02:00:00,2025,1,3,2,17.96,3.29,177.35,8.7,56.6,0.0,1,3,2
2025-01-03 03:00:00,2025,1,3,3,20.31,3.19,333.12,30.7,50.29,0.0,1,3,3
2025-01-03 04:00:00,2025,1,3,4,21.84,3.22,501.9,44.4,49.96,0.0,1,3,4
2025-01-03 05:00:00,2025,1,3,5,23.04,3.12,614.85,48.9,49.35,0.0,1,3,5
2025-01-03 06:00:00,2025,1,3,6,24.01,3.01,691.65,53.1,48.41,0.0,1,3,6
2025-01-03 07:00:00,2025,1,3,7,24.67,2.91,581.5,56.2,47.32,0.0,1,3,7
2025-01-03 08:00:00,2025,1,3,8,24.95,2.93,557.3,57.4,46.92,0.0,1,3,8
2025-01-03 09:00:00,2025,1,3,9,24.81,2.84,420.8,59.7,47.69,0.0,1,3,9
2025-01-03 10:00:00,2025,1,3,10,24.02,2.68,220.43,64.1,51.15,0.0,1,3,10
2025-01-03 11:00:00,2025,1,3,11,21.38,2.35,36.6,75.0,66.17,0.0,1,3,11
2025-01-03 12:00:00,2025,1,3,12,19.06,2.6,0.0,82.9,70.65,0.0,1,3,12
2025-01-03 13:00:00,2025,1,3,13,18.48,2.39,0.0,78.6,72.52,0.0,1,3,13
2025-01-03 14:00:00,2025,1,3,14,18.03,2.04,0.0,66.3,73.59,0.0,1,3,14
2025-01-03 15:00:00,2025,1,3,15,17.4,1.9,0.0,47.3,75.58,0.0,1,3,15
2025-01-03 16:00:00,2025,1,3,16,16.66,2.02,0.0,30.6,77.89,0.0,1,3,16
2025-01-03 17:00:00,2025,1,3,17,15.89,2.21,0.0,19.3,79.78,0.0,1,3,17
2025-01-03 18:00:00,2025,1,3,18,15.21,2.39,0.0,13.3,80.86,0.0,1,3,18
2025-01-03 19:00:00,2025,1,3,19,14.64,2.57,0.0,9.9,81.13,0.0,1,3,19
2025-01-03 20:00:00,2025,1,3,20,14.16,2.73,0.0,8.2,80.84,0.0,1,3,20
