DateTime,Temperature,Humidity,Rainfall,Wind,Solar
2026-04-04 00:00,26.43,72.04,0.66,2.49,169.68
2026-04-04 01:00,27.93,65.88,1.05,2.09,385.67
2026-04-04 02:00,32.63,39.59,0.32,2.51,615.94
2026-04-04 03:00,34.01,36.3,0.08,2.35,779.27
2026-04-04 04:00,35.56,32.64,0.06,2.32,889.56
2026-04-04 05:00,36.39,31.39,0.13,2.68,890.7
2026-04-04 06:00,36.51,31.38,0.35,3.31,828.73
2026-04-04 07:00,36.06,32.8,0.47,4.31,758.36
2026-04-04 08:00,34.77,35.97,0.79,4.61,585.97
2026-04-04 09:00,33.11,40.48,1.04,4.75,378.96
2026-04-04 10:00,31.4,46.82,1.08,4.66,166.46
2026-04-04 11:00,29.73,54.2,0.71,4.29,14.45
2026-04-04 12:00,28.47,61.48,0.46,3.94,0.0
2026-04-04 13:00,27.86,65.82,0.41,3.92,0.0
2026-04-04 14:00,26.94,73.81,0.44,3.36,0.0
2026-04-04 15:00,26.77,72.21,0.45,2.67,0.0
2026-04-04 16:00,26.38,74.63,0.42,2.15,0.0
2026-04-04 17:00,26.05,76.19,0.38,1.96,0.0
2026-04-04 18:00,25.67,77.92,0.37,1.89,0.0
2026-04-04 19:00,25.05,80.32,0.46,1.89,0.0
2026-04-04 20:00,24.98,80.75,0.31,1.78,0.0
2026-04-04 21:00,24.71,81.73,0.25,1.76,0.0
2026-04-04 22:00,24.47,82.6,0.21,1.77,0.0
2026-04-04 23:00,24.59,81.92,0.21,1.8,16.88
2026-04-05 00:00,26.68,70.56,0.59,2.31,167.53
2026-04-05 01:00,29.92,51.63,0.67,1.84,384.07
2026-04-05 02:00,32.81,39.07,2.02,1.08,613.76
2026-04-05 03:00,34.61,33.93,1.93,0.71,783.6
2026-04-05 04:00,36.2,31.1,2.11,0.91,884.07
2026-04-05 05:00,36.74,29.94,3.18,1.7,892.03
2026-04-05 06:00,36.84,29.97,4.42,2.54,841.9
2026-04-05 07:00,36.48,31.44,4.19,3.89,755.17
2026-04-05 08:00,35.29,34.1,2.81,3.93,489.57
2026-04-05 09:00,33.98,36.78,2.17,4.11,293.23
2026-04-05 10:00,31.76,44.7,1.66,4.33,156.58
2026-04-05 11:00,30.68,49.44,0.56,4.49,10.88
2026-04-05 12:00,29.22,57.23,0.33,4.46,0.0
2026-04-05 13:00,28.13,64.61,0.27,3.9,0.0
2026-04-05 14:00,27.34,69.71,0.33,3.13,0.0
2026-04-05 15:00,26.85,72.95,0.45,2.61,0.0
2026-04-05 16:00,26.3,75.89,0.55,2.21,0.0
2026-04-05 17:00,25.88,77.92,0.83,2.08,0.0
2026-04-05 18:00,25.36,80.82,1.26,2.11,0.0
2026-04-05 19:00,24.84,83.21,1.53,2.13,0.0
2026-04-05 20:00,24.62,83.25,1.44,2.17,0.0
2026-04-05 21:00,24.19,84.29,1.23,2.3,0.0
2026-04-05 22:00,23.9,84.43,1.13,2.36,0.0
2026-04-05 23:00,24.01,82.88,0.78,2.47,16.29
2026-04-06 00:00,26.69,69.14,0.45,3.39,157.93
2026-04-06 01:00,30.35,48.63,0.2,3.14,372.96
2026-04-06 02:00,33.46,35.14,0.12,2.25,594.21
2026-04-06 03:00,35.29,29.19,0.04,1.41,772.74
2026-04-06 04:00,36.98,24.98,0.03,1.01,870.8
2026-04-06 05:00,37.84,23.58,0.06,1.38,885.45
2026-04-06 06:00,37.98,23.45,0.17,2.29,835.28
2026-04-06 07:00,37.73,24.25,0.11,4.49,784.28
2026-04-06 08:00,36.21,27.67,0.12,5.03,493.45
2026-04-06 09:00,34.77,32.07,0.1,5.26,325.46
2026-04-06 10:00,32.71,39.04,0.08,5.64,148.7
2026-04-06 11:00,30.76,48.53,0.1,5.41,10.9
2026-04-06 12:00,28.92,58.41,0.13,5.06,0.0
2026-04-06 13:00,27.9,65.94,0.18,4.08,0.0
2026-04-06 14:00,27.13,70.82,0.23,3.24,0.0
2026-04-06 15:00,26.66,74.84,0.33,2.65,0.0
2026-04-06 16:00,26.03,78.98,0.4,2.1,0.0
2026-04-06 17:00,25.58,82.75,0.45,1.99,0.0
2026-04-06 18:00,25.11,86.6,0.56,1.96,0.0
2026-04-06 19:00,24.66,90.05,0.64,1.91,0.0
2026-04-06 20:00,24.37,92.06,0.71,1.92,0.0
2026-04-06 21:00,24.15,91.98,0.71,1.96,0.0
2026-04-06 22:00,23.92,92.26,0.56,2.04,0.0
2026-04-06 23:00,24.0,91.4,0.49,2.11,17.23
2026-04-07 00:00,26.47,70.96,0.46,2.84,160.37
2026-04-07 01:00,29.7,52.55,0.22,2.6,371.86
2026-04-07 02:00,32.98,36.35,0.16,1.83,589.54
2026-04-07 03:00,35.04,29.88,0.07,1.0,773.59
2026-04-07 04:00,36.73,25.81,0.06,1.22,877.81
2026-04-07 05:00,37.83,24.53,0.06,2.01,898.03
2026-04-07 06:00,37.93,24.43,0.13,2.84,858.97
2026-04-07 07:00,37.7,25.44,0.06,5.06,796.37
2026-04-07 08:00,36.35,28.0,0.04,5.68,615.5
2026-04-07 09:00,34.73,32.13,0.02,5.9,363.53
2026-04-07 10:00,32.43,39.86,0.03,6.13,160.13
2026-04-07 11:00,29.76,52.73,0.07,5.68,14.88
2026-04-07 12:00,28.27,60.91,0.04,4.79,0.0
2026-04-07 13:00,27.44,68.04,0.08,3.61,0.0
2026-04-07 14:00,26.73,72.78,0.12,2.81,0.0
2026-04-07 15:00,26.38,78.45,0.18,2.7,0.0
2026-04-07 16:00,25.64,81.35,0.22,2.01,0.0
2026-04-07 17:00,25.4,84.67,0.26,2.01,0.0
2026-04-07 18:00,24.92,87.48,0.23,2.04,0.0
2026-04-07 19:00,24.62,88.74,0.33,1.96,0.0
2026-04-07 20:00,24.43,89.42,0.41,1.71,0.0
2026-04-07 21:00,24.24,89.79,0.48,1.55,0.0
2026-04-07 22:00,24.07,90.07,0.43,1.51,0.0
2026-04-07 23:00,24.18,89.07,0.44,1.67,19.87
2026-04-08 00:00,25.74,78.39,0.59,2.66,179.9
2026-04-08 01:00,28.48,60.85,0.54,3.16,386.08
2026-04-08 02:00,30.87,51.66,0.69,3.93,600.0
2026-04-08 03:00,32.75,45.18,0.65,4.62,764.34
2026-04-08 04:00,33.53,41.6,0.53,5.22,885.48
2026-04-08 05:00,33.98,41.19,0.65,5.34,909.22
2026-04-08 06:00,34.13,39.81,0.81,6.31,893.57
2026-04-08 07:00,33.75,41.25,0.94,7.1,803.66
2026-04-08 08:00,32.95,43.91,1.34,7.12,635.15
2026-04-08 09:00,34.0,44.06,2.04,6.76,383.92
2026-04-08 10:00,30.49,53.24,3.75,6.55,173.49
2026-04-08 11:00,28.71,60.76,4.56,5.96,15.85
2026-04-08 12:00,27.37,69.45,5.08,4.98,0.0
2026-04-08 13:00,26.7,76.84,6.88,4.42,0.0
2026-04-08 14:00,26.29,80.85,6.84,4.34,0.0
2026-04-08 15:00,26.0,83.77,6.18,4.41,0.0
